url,comment_text
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Lốc số nó có 13 tờ mà ông này trúng 14 tờ luôn à
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,"Ng ta ăn ở có đức mới đc trúng, mấy cha thất đức chết mịa, ai mà thèm độ 🫵 🫵 🫵"
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Sao giống người a họ thất lạc của mình quá 😂 😭
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,"Trúng gió à 
 con cháu của nó cả thôi 😂"
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Anh còn nhớ ổ bánh mì mình từng chia đôi kh
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin Chuc mung 🙏 👏
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía xin vía 😂
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía may mắn mắn
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Thành Tâm xin vía may mắn
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía ạ
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Vé số đang ế
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Dạ cho xin cái vía nhẹ nhẹ 1to dac biệt ạ
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía may mắn
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía ạ
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Em xin vía ạ.
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin lộc 1 tờ an ủi cũng ạ
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía trúng độc đắc
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía trúng giải đặc biệt
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía trúng đặc biệt a di đà phật
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin via may mắn anh oi
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía xin vía xin vía ą
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Nhìn quen ghê hơm
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Cầu sin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía may mắn tài lộc
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía 😍 😍
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,"Người a thất lạc của tôi,"
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía may mắn
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,"Xin vía, xin vía 😂"
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,1 tháng 6 vs lên 14 to rồi nha
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Cho xin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía 😍 😍 😍
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía 1 tờ 😅
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía
